ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7899615,1.57E-36,1.94E-39,19.5816909,79.2554878,1.38,SERINC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8064415,2.43E-36,3.07E-39,-19.4846908,78.7999884,-1.18,TMEM74B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7905909,2.52E-36,3.26E-39,19.4719695,78.7401606,1.32,EFNA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7923347,3.78E-36,5.00E-39,19.3823535,78.3181066,1.51,LAD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8122865,3.89E-36,5.27E-39,-19.3713004,78.2659786,-8.71E-01,VIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7983890,4.52E-36,6.26E-39,-19.3351351,78.095309,-2.37,MYZAP,GCOM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8143684,6.13E-36,8.66E-39,19.2668551,77.772623,1.02,PDIA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8005957,6.96E-36,1.00E-38,19.2358428,77.6258618,1.55,SNORD4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8130211,7.51E-36,1.11E-38,-19.2155723,77.5298671,-1.6,SYNE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8007420,8.23E-36,1.24E-38,-19.1921628,77.4189411,-2.22,AOC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7914075,9.32E-36,1.43E-38,-19.1619948,77.2758857,-3.13,FCN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8133741,1.02E-35,1.60E-38,-19.1383935,77.1638868,-1.32,LOC105375355,UPK3B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7983145,1.07E-35,1.70E-38,-19.1257147,77.1036901,-1.37,STARD9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7899361,1.07E-35,1.73E-38,-19.1220566,77.0863183,-7.50E-01,STX12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7985240,1.09E-35,1.81E-38,19.1126749,77.0417581,8.05E-01,TMED3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8092596,1.26E-35,2.12E-38,-19.0801882,76.8873678,-9.92E-01,DGKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8049544,1.26E-35,2.17E-38,-19.0753274,76.864255,-1.43,LRRFIP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7960438,2.37E-35,4.13E-38,-18.9411776,76.2251868,-1.72,ANO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8088415,3.20E-35,5.68E-38,-18.875012,75.9091263,-1.68,FAM107A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7941714,3.85E-35,6.94E-38,18.8332834,75.7095052,1.12,C11orf80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8162086,4.68E-35,8.59E-38,-18.7892442,75.4985857,-9.48E-01,AGTPBP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7970381,4.80E-35,8.95E-38,-18.7807083,75.4576751,-1.91,LOC102725104,ANKRD20A8P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8102678,6.84E-35,1.31E-37,-18.7014245,75.0772367,-6.39E-01,TRPC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8041763,6.84E-35,1.32E-37,-18.7010476,75.0754263,-1.08,PRKCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7926677,7.45E-35,1.46E-37,-18.6802062,74.9752843,-1.36,OTUD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7934979,7.93E-35,1.57E-37,-18.6640709,74.897716,-3.16,ANKRD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8138857,8.80E-35,1.77E-37,18.6396861,74.7804259,1.09,GGCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8098060,1.29E-34,2.63E-37,-18.5583793,74.3887858,-2.43,RXFP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7917199,1.34E-34,2.79E-37,-18.5462943,74.3305019,-2.04,TTLL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8096301,1.52E-34,3.20E-37,18.5180219,74.1940742,4.1,SPP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8123315,1.54E-34,3.30E-37,-18.511997,74.1649884,-1.08,QKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8014974,2.68E-34,5.80E-37,18.3961648,73.6048759,2.51,TOP2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
